state,year,state_tax_per_pack,price_per_pack,pack_sales_per_capita
MT,1987,0.16,1.153,91.7
CA,2006,0.87,3.95,32.9
OH,1995,0.24,1.597,111.7
MA,2004,1.51,5.028,43.6
KS,2015,0.79,5.793,39.3
AR,2011,1.15,5.551,61.1
DE,2015,1.6,5.86,70.1
AR,2010,1.15,5.454,63.2
SC,1995,0.07,1.495,109.2
PA,1995,0.31,1.694,95.4
MA,1977,0.21,0.618,118.9
IA,1983,0.18,0.933,115.6
ND,1990,0.27,1.598,77.1
IA,2001,0.36,3.195,86.5
NC,2007,0.35,3.447,78.3
GA,2003,0.12,3.309,83.1
CO,1995,0.2,1.696,85.4
CO,1996,0.2,1.744,83.1
NC,1974,0.02,0.329,227.3
SD,1996,0.23,1.817,92.3
UT,1980,0.1,0.627,74.8
IA,1981,0.13,0.728,132.9
VT,1970,0.12,0.395,122.6
UT,1993,0.265,1.604,56.2
MO,2013,0.17,4.387,87.4
DE,1980,0.14,0.66,150.5
HI,1972,0.1,0.377,81.6
AK,2019,2,9.553,30.4
NH,2017,1.78,6.445,87.3
NM,2018,1.66,6.641,23.6
MD,2018,2,6.912,27.6
TN,1997,0.13,1.677,118.9
NE,1991,0.27,1.695,92.4
MS,1972,0.09,0.373,112.1
MA,2012,2.51,7.505,33.5
MD,1999,0.36,3.152,71.4
SC,1977,0.06,0.492,137.2
IA,1991,0.31,1.785,97.1
NE,2002,0.34,3.867,77.3
UT,1988,0.23,1.356,55
FL,1979,0.21,0.698,135.4
ND,2000,0.44,3.069,72.5
AK,1974,0.08,0.449,130.4
FL,1970,0.15,0.438,123.6
AR,1972,0.1775,0.451,103.9
AK,1990,0.16,2.017,100.2
NY,1987,0.21,1.259,108.9
NE,2004,0.64,3.619,61.8
AK,1991,0.29,2.073,101.8
OR,1998,0.68,2.583,84.2
VT,1985,0.17,1.049,144.5
IN,1990,0.155,1.358,128.3
CO,1989,0.2,1.493,88.8
OK,2003,0.23,3.225,103
NH,1974,0.11,0.408,269.8
VA,2019,0.3,5.732,51.6
WV,2006,0.55,3.478,112.2
MI,1996,0.75,2.338,82.9
WA,2000,0.825,3.816,52.8
MA,1998,0.76,2.822,63.6
MN,1988,0.38,1.525,94.1
MI,1987,0.21,1.222,122.1
ID,1983,0.091,0.885,111.3
AK,1970,0.08,0.418,121.3
RI,1997,0.61,2.322,90
AL,1997,0.165,1.805,104.9
MS,1984,0.11,0.984,116.4
HI,2004,1.4,5.044,47.4
DE,2016,1.6,5.993,68.1
WY,2006,0.6,3.724,78.8
ND,2008,0.44,3.536,74
NM,2007,0.91,4.057,34.6
UT,2016,1.7,6.504,18.5
MT,1976,0.12,0.476,124.9
OR,1987,0.27,1.308,108.9
CT,1993,0.45,2.056,79.1
PA,1984,0.18,1.001,115.3
MT,1981,0.12,0.657,121.1
FL,2001,0.339,3.324,78.6
MS,1988,0.18,1.258,109
AL,1975,0.12,0.504,111.7
OK,2015,1.03,5.708,62.6
VT,1996,0.2,2.019,102.5
SD,2011,1.53,5.842,43.8
MA,1982,0.21,0.887,122.3
WI,1993,0.38,1.786,91.2
MN,1976,0.18,0.531,116.7
CT,1985,0.26,1.185,111
WV,2016,0.55,5.668,95.5
SD,1992,0.23,1.803,93
MD,1975,0.1,0.461,146.1
CA,1978,0.1,0.601,126.1
TX,2013,1.41,5.747,36.2
WA,1989,0.34,1.675,86.1
OR,1991,0.28,1.772,100.1
VA,1980,0.025,0.518,148.9
SD,1991,0.23,1.63,91.8
NJ,2018,2.7,7.666,25.8
PA,1998,0.31,2.05,92.1
MI,2002,0.75,4.345,78.1
MA,1994,0.51,2.056,77
OK,2012,1.03,5.4,71.3
MO,2001,0.17,3.04,107.8
LA,2006,0.36,3.498,77.3
TX,2012,1.41,5.659,36.7
AZ,1983,0.13,0.928,111.1
NJ,2017,2.7,7.579,27.3
HI,1977,0.11,0.567,95.1
NV,2005,0.8,3.752,69.7
MA,1979,0.21,0.682,118.2
WA,1987,0.31,1.414,91.3
SD,1980,0.14,0.623,114.7
ID,1991,0.18,1.672,85.4
MD,1995,0.36,1.778,77.1
KY,1995,0.03,1.398,175.3
AL,2003,0.165,3.234,82.2
WY,1997,0.12,1.688,108.8
IN,1980,0.105,0.583,146.9
LA,2008,0.36,3.756,87.9
MN,1979,0.18,0.63,118.3
MT,1990,0.16,1.436,84.7
IA,2008,1.36,4.507,57.6
OR,2003,1.28,4.239,60.9
ND,2017,0.44,4.966,65.2
NM,1970,0.12,0.417,90
WY,2009,0.6,4.681,76.7
OR,1971,0.04,0.305,157.9
SC,1972,0.06,0.335,118.7
NC,1971,0.02,0.287,187.6
WI,2015,2.52,7.447,39.5
WA,2002,1.425,4.773,45
GA,1996,0.12,1.589,102.7
MN,2001,0.48,3.476,74.2
OK,2014,1.03,5.497,64.3
WV,2018,1.2,6.035,75.7
DE,1987,0.14,1.193,141
AK,2018,2,9.37,31.1
MO,2000,0.17,2.822,113.8
DC,2016,2.91,7.704,14.8
NJ,1973,0.19,0.502,120.2
OH,2012,1.25,5.525,55.7
IL,2003,0.98,4.058,51.4
RI,1991,0.37,1.9,103.6
ND,1981,0.12,0.678,125.7
AK,1979,0.08,0.609,138.1
ID,2014,0.57,5.059,40.8
AZ,2003,1.18,4.031,48.2
MI,1979,0.11,0.603,140.9
OH,2001,0.24,3.102,100
VT,1976,0.12,0.47,171.1
MO,2003,0.17,3.161,106.4
ND,1988,0.27,1.359,87.1
CT,2014,3.4,8.211,30.1
KY,2016,0.6,5.015,87
